id,effectiveTime,active,moduleId,refsetId,referencedComponentId,attributeDescription,attributeType,attributeOrder,descriptionFormat,descriptionLength,domainId,grouped,attributeCardinality,attributeInGroupCardinality,ruleStrengthId,contentTypeId,mrcmRuleRefsetId,rangeConstraint,attributeRule,sourceEffectiveTime,targetEffectiveTime,domainConstraint,parentDomain,proximalPrimitiveConstraint,proximalPrimitiveRefinement,domainTemplateForPrecoordination,domainTemplateForPostcoordination,guideURL
81ee191b-56fd-4950-9e14-6cb4c5cb5b1b,20170731,1,900000000000012004,900000000000456007,723561005,723574004.0,9.00000000000461e+17,6.0,,,,,,,,,,,,,,,,,,,,
8561568a-c56c-4b02-aaff-05e581606ebf,20140131,1,900000000000207008,900000000000456007,900000000000531004,9.00000000000533e+17,9.0000000000046e+17,1.0,,,,,,,,,,,,,,,,,,,,
85cc1c27-3a9f-5859-a1c5-7522b51ed528,20130731,1,449080006,900000000000456007,447562003,9.00000000000502e+17,9.00000000000478e+17,2.0,,,,,,,,,,,,,,,,,,,,
85d2cadc-65a0-5e0e-aa32-91236adfb1be,20020131,1,900000000000207008,900000000000456007,900000000000488004,449608002.0,9.00000000000463e+17,0.0,,,,,,,,,,,,,,,,,,,,
885e163a-5c99-423d-9879-dc9e10599fb5,20170731,1,900000000000207008,900000000000456007,900000000000496009,9.00000000000499e+17,9.00000000000465e+17,1.0,,,,,,,,,,,,,,,,,,,,
885e163a-5c99-423d-9879-dc9e10599fb5,20220131,0,900000000000207008,900000000000456007,900000000000496009,9.00000000000499e+17,9.00000000000465e+17,1.0,,,,,,,,,,,,,,,,,,,,
89613c1d-fff1-4744-951a-9c1ee341af5a,20170731,1,900000000000207008,900000000000456007,447258008,447255006.0,9.00000000000478e+17,1.0,,,,,,,,,,,,,,,,,,,,
89aa39de-d0a8-5879-9ea6-79a88e6d65de,20020131,1,900000000000207008,900000000000456007,900000000000526001,9.00000000000532e+17,9.0000000000046e+17,0.0,,,,,,,,,,,,,,,,,,,,
8af233ae-d139-4335-8bef-336862b68e89,20210131,1,900000000000012004,900000000000456007,1119435002,733616009.0,1119461003.0,2.0,,,,,,,,,,,,,,,,,,,,
8bc8366e-7cf1-55ef-9f90-872183466155,20020131,1,900000000000207008,900000000000456007,900000000000524003,9.00000000000533e+17,9.0000000000046e+17,1.0,,,,,,,,,,,,,,,,,,,,
8df7ee2c-73ff-4003-bc73-be305de6aae9,20170731,1,900000000000012004,900000000000456007,723604009,723572000.0,9.00000000000478e+17,2.0,,,,,,,,,,,,,,,,,,,,
8e9aa925-5832-4caf-9dfc-49b1d72e608e,20170731,1,900000000000207008,900000000000456007,900000000000480006,9.00000000000491e+17,9.00000000000461e+17,1.0,,,,,,,,,,,,,,,,,,,,
91871acf-7344-4209-9b37-249486dd2ca8,20180131,1,900000000000012004,900000000000456007,705109006,447247004.0,9.00000000000461e+17,4.0,,,,,,,,,,,,,,,,,,,,
91871acf-7344-4209-9b37-249486dd2ca8,20220131,0,900000000000012004,900000000000456007,705109006,447247004.0,9.00000000000461e+17,4.0,,,,,,,,,,,,,,,,,,,,
9534ad5f-931c-406d-9da8-ffc3fc3e1183,20170731,1,900000000000207008,900000000000456007,609331003,9.00000000000505e+17,9.00000000000465e+17,5.0,,,,,,,,,,,,,,,,,,,,
9593e365-0182-5d93-be5b-73c1d5f5bc97,20140901,1,731000124108,900000000000456007,442311000124105,9.00000000000461e+17,9.00000000000461e+17,0.0,,,,,,,,,,,,,,,,,,,,
9593e365-0182-5d93-be5b-73c1d5f5bc97,20150901,1,731000124108,900000000000456007,442311000124105,9.00000000000461e+17,9.00000000000461e+17,0.0,,,,,,,,,,,,,,,,,,,,
9593e365-0182-5d93-be5b-73c1d5f5bc97,20160901,1,731000124108,900000000000456007,442311000124105,9.00000000000461e+17,9.00000000000461e+17,0.0,,,,,,,,,,,,,,,,,,,,
961d70f6-d5d8-5389-ad86-e9bb1a04df84,20140901,1,449080006,900000000000456007,6011000124106,9.00000000000501e+17,9.00000000000478e+17,1.0,,,,,,,,,,,,,,,,,,,,
961d70f6-d5d8-5389-ad86-e9bb1a04df84,20150901,1,449080006,900000000000456007,6011000124106,9.00000000000501e+17,9.00000000000478e+17,1.0,,,,,,,,,,,,,,,,,,,,
961d70f6-d5d8-5389-ad86-e9bb1a04df84,20160901,1,449080006,900000000000456007,6011000124106,9.00000000000501e+17,9.00000000000478e+17,1.0,,,,,,,,,,,,,,,,,,,,
97a486b8-cffa-4d2c-a79e-a733045d2883,20170731,1,900000000000207008,900000000000456007,900000000000506000,9.0000000000051e+17,9.00000000000462e+17,0.0,,,,,,,,,,,,,,,,,,,,
992912dc-cd7f-5f23-871d-fdd0a40d2ee2,20110731,1,900000000000207008,900000000000456007,447568004,447257003.0,9.00000000000461e+17,2.0,,,,,,,,,,,,,,,,,,,,
9a85bfeb-05fd-4617-88a0-b618ab92522d,20140131,1,900000000000207008,900000000000456007,900000000000531004,9.00000000000532e+17,9.0000000000046e+17,0.0,,,,,,,,,,,,,,,,,,,,
9c7a3fec-dfde-48e1-85cb-27264987e83f,20170731,1,900000000000012004,900000000000456007,723592007,723574004.0,9.00000000000461e+17,4.0,,,,,,,,,,,,,,,,,,,,
9d88cd7a-3541-4509-be4f-57bd9a2069d0,20220131,1,900000000000012004,900000000000456007,1193543008,9.00000000000505e+17,9.00000000000461e+17,0.0,,,,,,,,,,,,,,,,,,,,
9d939ce5-d00f-55a4-ba11-bebcb0903274,20020131,1,900000000000207008,900000000000456007,900000000000538005,9.00000000000539e+17,9.00000000000461e+17,1.0,,,,,,,,,,,,,,,,,,,,
9eed7b82-3c3b-521b-b42c-46b09a3ba408,20130731,1,449080006,900000000000456007,447562003,9.00000000000504e+17,9.00000000000465e+17,4.0,,,,,,,,,,,,,,,,,,,,
9f7f23ee-ca5c-4332-b428-f7b15842d76b,20170731,1,900000000000207008,900000000000456007,447250001,447247004.0,9.00000000000461e+17,6.0,,,,,,,,,,,,,,,,,,,,
9fc08566-c64b-489c-8f85-bd84cbe6d234,20170731,1,900000000000207008,900000000000456007,447250001,9.00000000000504e+17,9.00000000000465e+17,4.0,,,,,,,,,,,,,,,,,,,,
a0576b4c-a82b-4a87-9b11-257a653bde6a,20170731,1,900000000000207008,900000000000456007,609331003,609330002.0,9.00000000000461e+17,7.0,,,,,,,,,,,,,,,,,,,,
a0d5c6dc-0a18-52cd-bf3f-2ee214002e71,20020131,1,900000000000207008,900000000000456007,900000000000522004,9.00000000000533e+17,9.0000000000046e+17,1.0,,,,,,,,,,,,,,,,,,,,
a2afb641-e1c2-565e-a748-f4b3c7e9f146,20020131,1,900000000000207008,900000000000456007,900000000000524003,9.00000000000532e+17,9.0000000000046e+17,0.0,,,,,,,,,,,,,,,,,,,,
a30456c6-f14c-4821-a6f7-ccb1b875ab2a,20170731,1,900000000000207008,900000000000456007,900000000000521006,9.00000000000533e+17,9.0000000000046e+17,1.0,,,,,,,,,,,,,,,,,,,,
a30dc19c-7e70-49bd-a18d-5619030f22ab,20231201,1,900000000000012004,900000000000456007,1292995002,1296892000.0,9.00000000000461e+17,3.0,,,,,,,,,,,,,,,,,,,,
a3e46ae7-0da5-461e-8e33-913cd6ae4d20,20220228,1,900000000000012004,900000000000456007,1193544002,9.00000000000505e+17,9.00000000000461e+17,1.0,,,,,,,,,,,,,,,,,,,,
a6417d6f-5a66-5039-8e94-698d28a4da46,20020131,1,900000000000207008,900000000000456007,446608001,9.000000000005e+17,9.00000000000461e+17,0.0,,,,,,,,,,,,,,,,,,,,
a6ea87e3-b5eb-56b8-b68e-be24b6dfaf8f,20020131,1,900000000000207008,900000000000456007,900000000000509007,9.00000000000511e+17,9.00000000000461e+17,1.0,,,,,,,,,,,,,,,,,,,,
a7b29cee-d563-4e14-9a01-a491a6aab300,20170731,1,900000000000207008,900000000000456007,900000000000496009,9.000000000005e+17,9.00000000000461e+17,0.0,,,,,,,,,,,,,,,,,,,,
a7b29cee-d563-4e14-9a01-a491a6aab300,20220131,1,900000000000012004,900000000000456007,900000000000496009,9.000000000005e+17,9.00000000000461e+17,0.0,,,,,,,,,,,,,,,,,,,,
a87a81a3-b10c-490b-9cc1-d94fafc5dc27,20170731,1,900000000000012004,900000000000456007,723560006,723570008.0,707000009.0,7.0,,,,,,,,,,,,,,,,,,,,
a87a81a3-b10c-490b-9cc1-d94fafc5dc27,20190731,1,900000000000012004,900000000000456007,723560006,723570008.0,9.00000000000469e+17,7.0,,,,,,,,,,,,,,,,,,,,
a9cb1614-a2fb-4c8d-9b6a-6b06f5368955,20170731,1,900000000000012004,900000000000456007,723561005,723573005.0,9.00000000000461e+17,5.0,,,,,,,,,,,,,,,,,,,,
aa3ab90e-fd7f-4586-a3a4-0d04695985fa,20180731,1,900000000000012004,900000000000456007,762103008,762677007.0,762678002.0,1.0,,,,,,,,,,,,,,,,,,,,
aab3bffc-9cf6-57d5-b8ae-1d6ca13ae84d,20020131,1,900000000000207008,900000000000456007,900000000000488004,9.00000000000226e+17,9.00000000000461e+17,1.0,,,,,,,,,,,,,,,,,,,,
ad911b65-3425-508f-96e6-75ee0f8d0472,20130731,1,449080006,900000000000456007,447562003,609330002.0,9.00000000000461e+17,7.0,,,,,,,,,,,,,,,,,,,,
add20782-a3bf-5565-875a-8c88cbbd2b1d,20110731,1,900000000000207008,900000000000456007,447568004,449608002.0,9.00000000000461e+17,0.0,,,,,,,,,,,,,,,,,,,,
aee0324f-cd95-4ad7-9fdb-aca2987169d4,20170731,1,900000000000012004,900000000000456007,723561005,723602008.0,707000009.0,3.0,,,,,,,,,,,,,,,,,,,,
aee0e3e2-aa89-5a76-9e6f-3ea574434648,20130731,1,449080006,900000000000456007,447562003,9.00000000000501e+17,9.00000000000478e+17,1.0,,,,,,,,,,,,,,,,,,,,
af423372-4679-4f2a-b22d-65151e68fa5c,20220131,1,900000000000012004,900000000000456007,705109006,9.000000000005e+17,9.00000000000465e+17,1.0,,,,,,,,,,,,,,,,,,,,
afe9824b-1323-4407-a0b7-a028ae2b780a,20231201,1,900000000000012004,900000000000456007,1292995002,1296895003.0,9.00000000000465e+17,2.0,,,,,,,,,,,,,,,,,,,,
b09e1097-ed6f-486a-a540-39a4a9d695dc,20220131,1,900000000000012004,900000000000456007,1187636009,9.000000000005e+17,9.00000000000465e+17,1.0,,,,,,,,,,,,,,,,,,,,
b16f6ba2-e487-521f-aaab-ee1ca85c3eaf,20020131,1,900000000000207008,900000000000456007,900000000000489007,449608002.0,9.00000000000461e+17,0.0,,,,,,,,,,,,,,,,,,,,
b26481a8-f44e-48ea-9e77-64a0a1e17bea,20220131,1,900000000000012004,900000000000456007,705111002,9.000000000005e+17,9.00000000000465e+17,1.0,,,,,,,,,,,,,,,,,,,,
b429a254-9b41-4a3d-afb5-0685a4a41ee9,20180131,1,900000000000012004,900000000000456007,705111002,705116007.0,9.00000000000461e+17,4.0,,,,,,,,,,,,,,,,,,,,
b46405ec-5ff1-46a3-a9cc-b2ef2bba23cc,20231201,1,900000000000012004,900000000000456007,1292992004,9.00000000000519e+17,9.00000000000459e+17,3.0,,,,,,,,,,,,,,,,,,,,
b4979435-1acc-4547-bad0-b228888175d0,20170731,1,900000000000012004,900000000000456007,723562003,449608002.0,9.00000000000461e+17,0.0,,,,,,,,,,,,,,,,,,,,
b552d838-8039-55d7-b988-db499dcbf926,20140901,1,449080006,900000000000456007,6011000124106,9.00000000000502e+17,9.00000000000478e+17,2.0,,,,,,,,,,,,,,,,,,,,
b552d838-8039-55d7-b988-db499dcbf926,20150901,1,449080006,900000000000456007,6011000124106,9.00000000000502e+17,9.00000000000478e+17,2.0,,,,,,,,,,,,,,,,,,,,
b552d838-8039-55d7-b988-db499dcbf926,20160901,1,449080006,900000000000456007,6011000124106,9.00000000000502e+17,9.00000000000478e+17,2.0,,,,,,,,,,,,,,,,,,,,
b7f888cc-d669-4edb-b101-442ae110c9ec,20170731,1,900000000000207008,900000000000456007,609331003,9.00000000000503e+17,9.00000000000465e+17,3.0,,,,,,,,,,,,,,,,,,,,
b899c0a3-cdb9-44c9-811a-bc9e6368a642,20170731,1,900000000000012004,900000000000456007,723560006,449608002.0,9.00000000000461e+17,0.0,,,,,,,,,,,,,,,,,,,,
ba16af1e-b670-5c5b-9e23-6d13f5b15094,20140901,1,449080006,900000000000456007,6011000124106,9.00000000000503e+17,9.00000000000466e+17,3.0,,,,,,,,,,,,,,,,,,,,
